name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Hank Mobley - Remember-KV0HX9sk_04.mp3,83.35433467741936, 246, 0.35489440204967004, 0.15666049718856812,3459.1796683177718, 4171.431746034109, 8226.312756612206, 0.06518680663054696,125.30229217091687,-10.00879506081084,44.45033214305814,-16.607118929754094,27.537420125492762,-19.238857029174543,14.28771687892571,-22.60010869865901,8.211265936990106,-15.647069545582,9.149770584835796,Jazz
Bill Evans - Waltz For Debby-dH3GSrCmzC8.mp3,102.27272727272727, 305, 0.46268088973666277, 0.10357148200273514,653.4962415552467, 1250.197915554005, 926.6256444062574, 0.01360726656012977,185.04403515058115,54.44595764514387,26.859251708571374,18.282815318448538,4.238400458042552,7.206094577953275,3.961210816793553,-0.634202784100208,1.949579480518665,1.093269080205502,-1.32677058125071,Jazz
Dave Brubeck - Blue Rondo a la Turk-KAlVasHbipo.mp3,191.40625, 562, 0.3806889780716668, 0.12229800969362259,2231.844642899966, 3157.204477261967, 5077.285965013061, 0.03843699987704786,149.48554492940116,4.240444931512613,38.81655741721434,-14.634372944005992,23.38934587672283,-9.667269108614688,10.69702319924514,-9.15694711201356,2.5606903367970695,1.7067637761405177,-4.300950329859427,Jazz
Joe Henderson Quintet - Recorda-Me-xwRbcb4ADjY.mp3,122.28260869565217, 360, 0.4073284980504128, 0.09822388738393784,1778.6203552360075, 2423.432262464357, 3501.8244289227305, 0.03171143098927471,164.7791196427058,-1.6630919822794428,25.932377285653363,4.8386455651249864,20.000854803892434,1.346326643167358,-2.0661445660771585,0.7274849567075529,-7.184356135473624,-0.7758268473963981,-6.628702965941987,Jazz
My Favorite Things - John Coltrane [FULL VERSION] HQ-qWG2dsXV5HI.mp3,170.45454545454547, 507, 0.3903985868262985, 0.06393598020076752,2129.022213228264, 3229.864485723411, 4746.67843757407, 0.03154005804285672,161.31128513046446,-1.8395043729959337,49.228032727475295,-15.613686878547279,29.785266668331946,-7.493878797910634,11.105526357495316,-7.903917650615759,1.1454752584938315,1.9457889462477813,-2.7345323374980017,Jazz
Joe Henderson - Blue Bossa-M69YdmAJoLs.mp3,108.17307692307692, 323, 0.3497387277273933, 0.13128972053527832,1722.4357840210948, 2442.132804356496, 3035.346516502726, 0.033146415397606065,183.14471896341632,-13.669572514611056,10.14394929184053,11.489476500078636,9.007424624590099,-0.3002456122831613,0.47354490633994956,-7.649269650440229,-5.234216467763088,-6.430624505545275,-1.9492918953729075,Jazz
Herbie Hancock - Maiden Voyage-hwmRQ0PBtXU.mp3,122.28260869565217, 369, 0.3545943908080689, 0.13346955180168152,2724.4254047215545, 3204.6153742717793, 5813.617989304337, 0.054304796984252786,153.55639240853935,-25.60205593266209,40.880888868656186,-17.965600296642034,26.74797759334658,-19.826992543522483,2.5875771577472664,-4.774367108011266,-11.661984087361555,-8.075812879055785,-6.179034137210856,Jazz
Art Pepper－You'd Be So Nice to Come Home To-xISaCzXYYg8.mp3,89.28571428571429, 267, 0.41174330593535546, 0.055967606604099274,2472.0851765531875, 2937.825401439651, 5795.169082572885, 0.04542575139065833,144.6817698235776,-19.721750314595102,59.87267149131855,-13.203174384877086,14.419441870040904,4.699296028262452,-10.880887039412924,13.250747762799776,-8.452617287972137,11.387932155627897,-1.2312774989036992,Jazz
Dave Brubeck - Take Five-vmDDOFXSgAs.mp3,125.0, 381, 0.4821501953816626, 0.08284468203783035,3029.380770256953, 3576.454517694547, 7064.461920775065, 0.05250820206024828,128.27769546917915,-6.9727818817441705,52.780813642698,-11.762431889647244,27.62027362131356,-5.302194962949967,10.887159117176362,-1.0806256585555563,-0.25254558661070414,9.753871392743937,-6.788797630374582,Jazz
Lee Morgan Quintet - Ceora-ECw3WAX41OA.mp3,127.8409090909091, 382, 0.3530813894515199, 0.11459465324878693,1532.5704576118899, 1930.3384298428368, 2877.8155738919177, 0.032912980156731456,184.98568983927274,-13.465659036453973,26.04267750624189,7.285989700782464,9.881913377393152,-0.5519448892936971,-6.820896952204808,-3.8584905407389405,-11.752586177017054,-6.488719570629411,-3.8588791434042067,Jazz
